1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
0.624803 1.574064 0.037881 0.161370 1.259115 0.386741 0.199432 0.799320 0.000835 1.264624 0.040750 0.020214 2.346543 0.088520 2.072755 0.961440 2.124535 0.169915 0.041667 1.797045 0.001412 0.170196 1.646127 0.125135 0.252538 0.419214 0.081507 1.676764 0.078033 0.651290 0.235054 1.706782 0.174824 0.763923 0.004808 0.206055 1.356714 0.238144 0.000073 0.078229 0.351917 2.278465 0.000006 0.734609 2.352432 0.761483 0.417810 0.702168 0.040157 2.044263 
2.484839 2.501684 2.556604 2.636271 2.502010 2.593403 2.642052 2.573029 2.567843 2.542187 2.623816 2.717683 2.663782 2.577409 2.701646 2.703504 2.715942 2.729199 2.651975 2.733263 2.655228 2.654587 2.605756 2.664025 2.648496 2.665396 2.626602 2.643701 2.667660 2.617832 2.605185 2.648788 2.627263 2.616800 2.617382 2.577480 2.595313 2.568435 2.608062 2.581467 2.570703 2.598272 2.590915 2.570899 2.578430 2.597314 2.585576 2.645982 2.634421 2.667184 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
1.342457 1.326106 1.235980 0.648819 1.738203 0.000317 1.995685 2.273479 0.627872 0.037002 2.304619 1.904393 0.764022 0.009134 0.304175 0.165245 0.006790 0.001047 0.004549 0.005037 1.501882 0.151557 2.160049 0.152002 0.000066 0.998283 0.000533 0.226207 0.632379 0.765432 1.326542 0.163859 2.002612 2.341249 0.476624 0.787244 1.385185 0.000001 0.002748 2.224387 1.451165 1.533351 0.000001 0.165890 0.000004 1.401007 0.336812 0.949891 0.518034 0.330280 
2.679327 2.621481 2.638259 2.642030 2.589926 2.555716 2.537299 2.587957 2.518733 2.612808 2.583168 2.557323 2.556446 2.552243 2.593634 2.594655 2.562940 2.507374 2.533088 2.570762 2.602372 2.568534 2.640659 2.619076 2.624935 2.569607 2.518254 2.641423 2.636902 2.684352 2.675800 2.677830 2.679948 2.677990 2.674224 2.676528 2.693681 2.632708 2.778038 2.848541 2.687671 2.650594 2.647063 2.657657 2.767981 2.768003 2.782548 2.771610 2.694764 2.659177 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 
