1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
0.040707 0.038778 0.033202 0.012132 0.014307 0.048533 0.082168 0.104845 0.004293 0.041560 0.100776 0.043192 0.084073 0.044245 0.047348 0.044998 0.050095 0.047802 0.070597 0.065287 0.007218 0.049910 0.075331 0.083673 0.045419 0.062233 0.072246 0.050972 0.086948 0.053392 0.044387 0.052726 0.074953 0.046378 0.101385 0.040874 0.040866 0.069837 0.030843 0.061776 0.053305 0.042743 0.069603 0.049093 0.044435 0.057013 0.049647 0.044752 0.084815 0.041655 
0 -249980 0 0 0 -225641 -224180 -42777 0 -387325 -126807 0 -133604 -984814 -87497 -238959 -55331 -46714 0 -36475 0 -79842 -81585 -92338 -133833 -353305 -409612 -138971 -33745 -5296443 -403865 -104203 -98082 -36032 -233081 -435059 -118751 -2791230 0 -1166359 -173188 -332109 -1010300 -82722 -241616 -165810 -156000 -316963 -18660 -60098 
zero iterations zero zero zero iterations iterations iterations zero iterations iterations zero iterations iterations iterations iterations iterations iterations zero iterations zero iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations zero iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations 
15 21 12 4 5 22 37 54 1 22 55 18 44 21 24 22 24 24 24 35 2 24 41 40 23 33 30 27 45 20 25 25 40 23 40 21 22 27 11 24 26 21 27 27 21 31 27 21 44 21 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
0.039951 0.055008 0.063538 0.121463 0.043013 0.006501 0.078501 0.038495 0.021606 0.092965 0.070786 0.054344 0.058622 0.054453 0.061404 0.097405 0.057017 0.075590 0.050647 0.044743 0.039785 0.071407 0.081833 0.045365 0.016700 0.049396 0.094486 0.056237 0.042442 0.071704 0.075026 0.052453 0.080022 0.051240 0.043894 0.075366 0.077291 0.045856 0.054816 0.054057 0.055941 0.060727 0.065673 0.045225 0.153278 0.070817 0.112247 0.051390 0.062531 0.078809 
-19157 -416 -8936 -81091 -13451 0 -22863 -36284 0 -79438 -5423 -11762 -21701 -11199 -3322 -38918 -63473 -3701 -895920 0 -29444 -1546 -682 -20761 0 -14674 0 -12384 -449 -35303 -21882 -44446 -17393 -31642 -27911 -14313 -13044 0 -316915 -1840 -25665 -35644 -208366 -1898 0 -221 -22571 -8967 -43616 -65491 
iterations iterations iterations iterations iterations zero iterations iterations zero iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations zero iterations iterations iterations iterations zero iterations zero iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations zero iterations iterations iterations iterations iterations iterations zero iterations iterations iterations iterations iterations 
21 28 34 49 21 2 44 21 8 37 35 32 33 21 26 53 31 37 20 17 21 37 43 25 6 26 40 30 23 38 39 27 40 22 22 40 41 17 21 25 29 32 23 21 54 34 49 27 31 31 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 
0.074826 0.054336 0.062482 0.045007 0.047954 0.068581 0.049971 0.077406 0.099757 0.043979 0.069441 0.040615 0.042652 0.037364 0.007057 0.060908 0.073686 0.050630 0.091739 0.046432 0.091891 0.044187 0.014618 0.104800 0.055286 0.039832 0.082608 0.049720 0.056924 0.069652 0.050159 0.014636 0.044443 0.007976 0.092302 0.005319 0.015105 0.100709 0.041783 0.045706 0.091821 0.103483 0.057776 0.051040 0.073683 0.063137 0.060382 0.046054 0.071886 0.004838 
-3359 -155 -1968 -8786 -1365 -1997 -2512 -57098 -1390 -1522 -669 -3249 -4822 0 0 -82073 -4645 -2897 -3754 -9287 -24 -4443 0 -1689 -382 -1354 -1278 -2420 -1326 -3063 -5340 0 -1608 0 -4580 0 0 -285 -4460 -9451 -510 -322 -1866 -116429 -812 -9970 -482 -101 -1502 0 
iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations zero zero iterations iterations iterations iterations iterations iterations iterations zero iterations iterations iterations iterations iterations iterations iterations iterations zero iterations zero iterations zero zero iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations zero 
33 26 34 22 24 33 27 31 52 22 34 21 22 15 2 25 30 26 48 23 51 21 5 41 31 21 43 30 28 34 26 5 26 2 39 1 5 53 21 21 52 58 25 21 41 24 31 24 30 1 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 
4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 
0.074743 0.045122 0.124055 0.046146 0.039700 0.040754 0.065597 0.073534 0.085571 0.049457 0.081922 0.069512 0.043771 0.054506 0.098947 0.042723 0.009713 0.065263 0.042839 0.076811 0.045665 0.007266 0.070585 0.016114 0.067406 0.073305 0.062777 0.067607 0.073183 0.074718 0.080657 0.045979 0.050298 0.037366 0.018051 0.063036 0.089668 0.056705 0.060429 0.048821 0.074779 0.049188 0.153866 0.048442 0.127077 0.039308 0.062741 0.100685 0.106817 0.107478 
-538 -1227 -92 -461 -365 -764 -809 -1147 -111 -901 -265 -33 0 -1604 -763 -151 0 -614 -826 -687 -3067 0 -8915 0 -135 -61 -341 -839 -1224 -22096 -1484 -679 -253 -1479 0 -1411 -3423 -420 -16651 -61 -19 -459 -127 -3487 -924 -811 -1051 -1183 -372 -1173 
iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations zero iterations iterations iterations zero iterations iterations iterations iterations zero iterations zero iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations zero iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations 
42 26 58 25 22 23 36 32 46 24 44 36 16 27 53 23 3 32 22 41 21 2 26 5 29 37 32 38 38 30 44 22 25 21 6 32 35 26 25 22 38 24 85 22 65 21 28 39 61 60 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 
5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 
0.122327 0.053852 0.061379 0.004703 0.098586 0.067397 0.046622 0.004814 0.043802 0.007597 0.064265 0.042804 0.164416 0.098269 0.074558 0.048008 0.048054 0.062620 0.061895 0.044447 0.105028 0.079607 0.045677 0.040437 0.102126 0.043455 0.069237 0.068927 0.042709 0.051465 0.054766 0.046908 0.011951 0.101008 0.063802 0.006897 0.079455 0.054146 0.043617 0.039733 0.045307 0.064679 0.058068 0.043661 0.065024 0.111928 0.048692 0.007582 0.080604 0.071057 
