1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1061672150 5654392099 895371135 881316683 1798322883 3213696150 2815260854 6038264549 1789756716 4774782726 4306371112 2971665764 5415469142 3453268231 4558535606 5680393867 6537517672 4962613820 1303442284 4049278229 989560853 3439976494 4537615394 6278028890 4314239003 4897898252 2345096519 4773846046 3596492782 1032121907 4427301957 6510267302 5531229829 3678368463 1674396681 5834850853 5445787477 1556604724 1150883027 1389905915 3024226192 6572650886 1837190969 4222625755 7483105771 4853249397 4537304601 5637397666 4324026121 3846745748 
0.08 0.38 0.08 0.08 0.12 0.21 0.17 0.33 0.08 0.29 0.33 0.17 0.33 0.29 0.29 0.46 0.46 0.38 0.08 0.29 0.08 0.25 0.29 0.42 0.29 0.33 0.21 0.33 0.29 0.08 0.38 0.38 0.38 0.38 0.12 0.42 0.46 0.12 0.08 0.12 0.21 0.42 0.12 0.29 0.46 0.38 0.29 0.38 0.29 0.29 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
370191137 653419479 552769717 174505722 688140506 171789170 476006048 518743930 229647377 209237168 753588034 487965355 436899682 202171156 314960317 385988802 597619980 328554282 99119031 203055877 566355562 373888596 579180677 551477910 118779894 742950131 259585158 466890070 498278132 386423966 435473517 587789122 401453940 319845126 428346717 375411268 576859352 196076869 190543316 838534945 423433919 594349809 115025475 793827551 181282550 699167014 314579897 603736923 699080452 236336339 
0.33 0.42 0.38 0.12 0.46 0.08 0.29 0.42 0.12 0.12 0.50 0.29 0.33 0.17 0.25 0.21 0.38 0.21 0.08 0.12 0.38 0.25 0.33 0.38 0.08 0.50 0.17 0.25 0.38 0.29 0.25 0.33 0.25 0.21 0.33 0.29 0.38 0.12 0.12 0.50 0.33 0.29 0.08 0.50 0.12 0.46 0.21 0.38 0.46 0.21 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 
36971031 119185238 58457793 93241494 52054962 104744009 62453996 21154548 91209846 103005146 40335442 70218863 54673952 24939307 19602857 17350585 33817456 54075232 93041038 86368543 71184467 102017252 17373419 30908954 68712046 81344247 58856634 53157675 46360397 89880752 75922948 12996238 69803459 15436133 31960777 24531746 28930483 80582960 86300049 116497493 71386331 54483624 34034038 12083776 70622974 29487863 88144600 80648510 27447457 57676066 
